ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20140306,2156.023,2145.977,2162.548,2126.026,2149.182,6.841,0.003183,108862949.0,92379549.319
000002.SH,20140305,2149.182,2170.5,2172.069,2146.137,2168.581,-19.399,-0.008945,107400263.0,91448985.361
000002.SH,20140304,2168.581,2165.095,2171.267,2146.192,2172.565,-3.984,-0.0018340000000000001,115541136.0,100924462.801
000002.SH,20140303,2172.565,2148.373,2175.814,2143.123,2152.801,19.764,0.009181,126967619.0,104747633.565
000002.SH,20140228,2152.801,2136.413,2155.124,2115.711,2143.462,9.339,0.004357,111238418.0,95482962.118
000002.SH,20140227,2143.462,2141.041,2165.487,2131.919,2137.003,6.459,0.0030220000000000004,131732185.0,112654990.008
000002.SH,20140226,2137.003,2121.626,2137.409,2108.906,2129.566,7.437,0.0034920000000000003,109598814.0,95860215.308
000002.SH,20140225,2129.566,2174.565,2185.416,2121.521,2173.928,-44.362,-0.020406,139537877.0,127514865.789
000002.SH,20140224,2173.928,2197.943,2197.943,2155.175,2212.635,-38.707,-0.017494,123068322.0,106945058.862
000002.SH,20140221,2212.635,2231.41,2232.583,2196.504,2238.965,-26.33,-0.01176,117411364.0,99377777.208
000002.SH,20140220,2238.965,2253.835,2280.178,2236.538,2242.944,-3.979,-0.001774,156707947.0,130741398.627
000002.SH,20140219,2242.944,2216.016,2253.868,2209.983,2218.26,24.684,0.011128,150940036.0,127655711.992
000002.SH,20140218,2218.26,2234.059,2234.059,2212.054,2235.392,-17.132,-0.007664,142341299.0,129526981.323
000002.SH,20140217,2235.392,2224.293,2236.476,2216.77,2214.801,20.591,0.009297,139838553.0,126007313.745
000002.SH,20140214,2214.801,2195.223,2215.153,2193.018,2196.354,18.447,0.008399,111141846.0,97201220.767
000002.SH,20140213,2196.354,2205.231,2221.974,2194.8,2208.388,-12.034,-0.005449000000000001,146132864.0,124163741.609
000002.SH,20140212,2208.388,2201.941,2209.392,2194.29,2201.778,6.61,0.0030020000000000003,125915693.0,110571692.353
000002.SH,20140211,2201.778,2183.339,2209.53,2179.48,2183.225,18.553,0.008498,141747866.0,125021782.992
000002.SH,20140210,2183.225,2145.36,2185.239,2145.36,2139.597,43.628,0.020391,123853156.0,112498440.284
000002.SH,20140207,2139.597,2116.356,2139.837,2108.379,2127.617,11.98,0.005631000000000001,73289484.0,67665982.799
000002.SH,20140130,2127.617,2141.073,2141.073,2125.934,2145.242,-17.625,-0.008216,62375099.0,58157560.282
000002.SH,20140129,2145.242,2137.189,2147.004,2134.659,2133.335,11.907,0.005581,73651453.0,67568831.711
000002.SH,20140128,2133.335,2131.024,2142.296,2121.142,2127.755,5.58,0.0026219999999999998,72308754.0,65615269.052
000002.SH,20140127,2127.755,2139.255,2139.882,2123.902,2149.877,-22.122,-0.010289999999999999,88585956.0,81782357.357
000002.SH,20140124,2149.877,2132.331,2156.811,2128.961,2137.065,12.812,0.005995,92632536.0,82177747.363
000002.SH,20140123,2137.065,2143.534,2147.965,2133.766,2147.136,-10.071,-0.00469,83930705.0,75922863.115
000002.SH,20140122,2147.136,2103.337,2147.751,2102.239,2101.613,45.523,0.021661,98484962.0,83906987.118
000002.SH,20140121,2101.613,2084.541,2107.753,2084.541,2083.74,17.873,0.008577,59665696.0,51930434.187
000002.SH,20140120,2083.74,2094.902,2099.155,2076.992,2098.121,-14.381,-0.006854,56105696.0,48211765.742
000002.SH,20140117,2098.121,2111.302,2111.687,2094.316,2117.794,-19.673,-0.009288999999999999,67163452.0,56969069.238
000002.SH,20140116,2117.794,2116.581,2129.369,2108.033,2117.431,0.363,0.000171,72579528.0,62743270.697
000002.SH,20140115,2117.431,2118.371,2121.712,2103.641,2121.133,-3.702,-0.0017449999999999998,67308163.0,57667416.822
000002.SH,20140114,2121.133,2100.533,2121.754,2094.184,2103.066,18.067,0.008591,70204699.0,56605593.214
000002.SH,20140113,2103.066,2108.727,2121.515,2093.443,2106.947,-3.881,-0.001842,66302410.0,55497187.725
000002.SH,20140110,2106.947,2117.626,2123.674,2101.379,2121.909,-14.962,-0.007050999999999999,75382660.0,60926074.444
000002.SH,20140109,2121.909,2136.806,2152.959,2120.677,2139.51,-17.601,-0.008227,75710266.0,67474132.07
000002.SH,20140108,2139.51,2142.624,2159.045,2131.933,2142.664,-3.154,-0.001472,71441608.0,62832322.147
000002.SH,20140107,2142.664,2128.954,2147.819,2123.713,2141.025,1.639,0.000766,63135882.0,54503222.475
000002.SH,20140106,2141.025,2175.419,2175.419,2128.689,2180.1,-39.075,-0.017923,89208912.0,72707012.225
000002.SH,20140103,2180.1,2199.313,2200.009,2172.46,2207.56,-27.46,-0.012439,84200252.0,72226794.637
000002.SH,20140102,2207.56,2210.449,2211.499,2198.77,2214.487,-6.927,-0.003128,68319648.0,61837828.495
000002.SH,20131231,2214.487,2187.904,2219.032,2184.493,2195.106,19.381,0.008829,80251652.0,71338072.962
000002.SH,20131230,2195.106,2207.077,2210.347,2192.548,2199.056,-3.95,-0.001796,73900168.0,62945896.414
000002.SH,20131227,2199.056,2171.133,2208.644,2165.87,2169.555,29.501,0.013597999999999999,76491377.0,66276432.31
000002.SH,20131226,2169.555,2200.598,2200.598,2166.87,2204.468,-34.913,-0.015837,78294546.0,66645417.967
000002.SH,20131225,2204.468,2192.655,2205.394,2185.561,2190.432,14.036,0.0064080000000000005,64855874.0,57988804.662
000002.SH,20131224,2190.432,2191.763,2210.265,2176.668,2187.142,3.29,0.0015040000000000001,69912891.0,61528316.627
000002.SH,20131223,2187.142,2186.965,2197.445,2164.907,2181.944,5.198,0.002382,67894562.0,58317913.292
000002.SH,20131220,2181.944,2227.785,2231.278,2179.899,2227.104,-45.16,-0.020277,86489276.0,72053399.766
000002.SH,20131219,2227.104,2254.315,2260.017,2225.489,2248.659,-21.555,-0.009586,72832058.0,61363238.457
000002.SH,20131218,2248.659,2250.892,2257.379,2242.728,2251.597,-2.938,-0.001305,64007223.0,55333927.185
000002.SH,20131217,2251.597,2262.614,2266.784,2246.57,2261.862,-10.265,-0.0045379999999999995,78375796.0,66819286.682
000002.SH,20131216,2261.862,2300.011,2304.658,2260.968,2298.737,-36.875,-0.016041,101048141.0,86256647.284
000002.SH,20131213,2298.737,2290.597,2307.756,2285.966,2305.87,-7.133,-0.0030930000000000003,84796427.0,72488897.809
000002.SH,20131212,2305.87,2302.186,2318.187,2297.566,2307.257,-1.387,-0.000601,85734728.0,75829916.426
000002.SH,20131211,2307.257,2332.868,2332.868,2295.722,2342.151,-34.894,-0.014898,108953523.0,94161333.363
000002.SH,20131210,2342.151,2344.672,2355.773,2336.068,2342.894,-0.743,-0.000317,108270010.0,95208687.796
000002.SH,20131209,2342.894,2346.71,2354.439,2336.132,2341.776,1.118,0.000477,92889393.0,84258362.855
000002.SH,20131206,2341.776,2347.428,2353.302,2332.818,2352.156,-10.38,-0.004413,103428310.0,92104152.604
000002.SH,20131205,2352.156,2358.116,2360.75,2343.848,2357.102,-4.946,-0.002098,121696446.0,105647200.694
000002.SH,20131204,2357.102,2323.82,2366.629,2319.531,2326.664,30.438,0.013082,156539920.0,135113641.917
000002.SH,20131203,2326.664,2299.684,2332.186,2295.933,2310.769,15.895,0.006879,113099422.0,100577700.024
000002.SH,20131202,2310.769,2306.201,2336.398,2274.293,2324.349,-13.58,-0.005842000000000001,173541736.0,151590458.122
000002.SH,20131129,2324.349,2325.63,2329.022,2315.742,2323.226,1.123,0.00048300000000000003,106662464.0,97678842.41
000002.SH,20131128,2323.226,2307.619,2338.977,2305.719,2304.151,19.075,0.008279,133962438.0,119394864.841
000002.SH,20131127,2304.151,2283.89,2311.025,2278.745,2285.279,18.872,0.008258,115093276.0,102018212.314
000002.SH,20131126,2285.279,2286.603,2295.245,2278.014,2288.457,-3.178,-0.001389,100055333.0,84315621.836
000002.SH,20131125,2288.457,2288.393,2312.646,2283.52,2299.232,-10.775,-0.004686,107887716.0,96579547.173
000002.SH,20131122,2299.232,2309.811,2314.643,2291.234,2309.057,-9.825,-0.004255,113585863.0,102321090.194
000002.SH,20131121,2309.057,2299.89,2309.869,2279.639,2309.957,-0.9,-0.00039,136737014.0,119797276.829
000002.SH,20131120,2309.957,2304.623,2310.558,2289.051,2295.844,14.113,0.0061470000000000006,118527636.0,104633769.104
000002.SH,20131119,2295.844,2301.317,2306.521,2288.499,2300.166,-4.322,-0.001879,124706799.0,115727464.219
000002.SH,20131118,2300.166,2247.895,2301.323,2244.034,2235.776,64.39,0.0288,156995226.0,142995315.221
000002.SH,20131115,2235.776,2199.226,2253.966,2199.106,2198.803,36.973,0.016815,125383572.0,113092031.858
000002.SH,20131114,2198.803,2184.809,2200.793,2176.24,2185.648,13.155,0.006019,83478845.0,71906513.239
